# rho	    A	        veq	       Qeq	  
129.5	  0.0360	 1.03	       133.3 
130.4	  0.0360	 0.93	       121.6 
131.3	  0.0360	 0.84	       110.1 
132.1	  0.0360	 0.75	       98.9 
133.0	  0.0360	 0.66	       88.0 
133.9	  0.0360	 0.58	       77.2 
134.8	  0.0360	 0.49	       66.6 
135.6	  0.0360	 0.41	       56.1 
136.5	  0.0360	 0.33	       45.7 
137.4	  0.0360	 0.26	       35.0 
138.2	  0.0360	 0.17	       24.1 
139.1	  0.0360	 0.09	       12.6 
140.0	  0.0360	 0.00	       0.0 
