# rho	    A	        veq	       Qeq	  
100.4	  0.0480	 2.20	       220.4 
101.1	  0.0480	 2.00	       201.8 
101.8	  0.0480	 1.81	       184.0 
102.4	  0.0480	 1.63	       166.9 
103.1	  0.0480	 1.46	       150.6 
103.8	  0.0480	 1.30	       135.0 
104.5	  0.0480	 1.15	       120.1 
105.2	  0.0480	 1.01	       105.8 
105.9	  0.0480	 0.87	       92.0 
106.6	  0.0480	 0.74	       78.4 
107.2	  0.0480	 0.61	       65.0 
107.9	  0.0480	 0.47	       51.2 
108.6	  0.0480	 0.34	       36.5 
109.3	  0.0480	 0.18	       20.0 
110.0	  0.0480	 0.00	       0.0 
