# rho	    A	        veq	       Qeq	  
129.5	  0.0380	 0.00	       0.0 
130.4	  0.0380	 0.00	       0.0 
131.3	  0.0380	 0.00	       0.0 
132.1	  0.0380	 0.00	       0.0 
133.0	  0.0380	 0.00	       0.0 
133.9	  0.0380	 0.00	       0.0 
134.8	  0.0380	 0.00	       0.0 
135.6	  0.0380	 0.00	       0.0 
136.5	  0.0380	 0.00	       0.0 
137.4	  0.0380	 0.00	       0.0 
138.2	  0.0380	 0.00	       0.0 
139.1	  0.0380	 0.00	       0.0 
140.0	  0.0380	 0.00	       0.0 
