# rho	    A	        veq	       Qeq	  
136.9	  0.0480	 1.90	       260.4 
137.8	  0.0480	 1.76	       242.0 
138.7	  0.0480	 1.61	       223.5 
139.7	  0.0480	 1.47	       205.0 
140.6	  0.0480	 1.33	       186.5 
141.6	  0.0480	 1.19	       167.9 
142.5	  0.0480	 1.05	       149.3 
143.4	  0.0480	 0.91	       130.8 
144.4	  0.0480	 0.78	       112.1 
145.3	  0.0480	 0.64	       93.5 
146.2	  0.0480	 0.51	       74.8 
147.2	  0.0480	 0.38	       56.2 
148.1	  0.0480	 0.25	       37.5 
149.1	  0.0480	 0.13	       18.7 
150.0	  0.0480	 0.00	       0.0 
