# rho	    A	        veq	       Qeq	  
129.5	  0.0220	 1.30	       167.9 
130.4	  0.0220	 1.18	       154.0 
131.3	  0.0220	 1.07	       140.0 
132.1	  0.0220	 0.95	       126.1 
133.0	  0.0220	 0.84	       112.1 
133.9	  0.0220	 0.73	       98.2 
134.8	  0.0220	 0.62	       84.2 
135.6	  0.0220	 0.52	       70.2 
136.5	  0.0220	 0.41	       56.2 
137.4	  0.0220	 0.31	       42.1 
138.2	  0.0220	 0.20	       28.1 
139.1	  0.0220	 0.10	       14.1 
140.0	  0.0220	 0.00	       0.0 
