# rho	    A	        veq	       Qeq	  
119.4	  0.0250	 1.58	       189.0 
120.3	  0.0250	 1.44	       173.0 
121.1	  0.0250	 1.30	       157.4 
121.9	  0.0250	 1.17	       142.4 
122.7	  0.0250	 1.04	       127.8 
123.5	  0.0250	 0.92	       113.6 
124.3	  0.0250	 0.80	       99.9 
125.1	  0.0250	 0.69	       86.5 
125.9	  0.0250	 0.58	       73.2 
126.8	  0.0250	 0.47	       60.0 
127.6	  0.0250	 0.37	       46.6 
128.4	  0.0250	 0.25	       32.6 
129.2	  0.0250	 0.13	       17.3 
130.0	  0.0250	 0.00	       0.0 
