# rho	    A	        veq	       Qeq	  
0.0	  0.0081	 120.00	       0.0 
0.9	  0.0081	 119.96	       105.0 
1.8	  0.0081	 119.85	       209.7 
2.6	  0.0082	 119.65	       314.1 
3.5	  0.0082	 119.37	       417.8 
4.4	  0.0082	 119.01	       520.7 
5.2	  0.0082	 118.57	       622.5 
6.1	  0.0083	 118.03	       722.9 
7.0	  0.0083	 117.41	       821.9 
7.9	  0.0083	 116.71	       919.1 
8.8	  0.0084	 115.92	       1014.3 
9.6	  0.0084	 115.04	       1107.2 
10.5	  0.0085	 114.08	       1197.8 
11.4	  0.0085	 113.03	       1285.7 
12.2	  0.0086	 111.90	       1370.8 
13.1	  0.0087	 110.70	       1452.9 
14.0	  0.0088	 109.41	       1531.7 
14.9	  0.0089	 108.04	       1607.1 
15.8	  0.0090	 106.60	       1678.9 
16.6	  0.0091	 105.08	       1747.0 
17.5	  0.0093	 103.49	       1811.0 
18.4	  0.0094	 101.82	       1870.9 
19.2	  0.0096	 100.08	       1926.5 
20.1	  0.0098	 98.26	       1977.6 
21.0	  0.0100	 96.38	       2024.0 
21.9	  0.0102	 94.43	       2065.7 
22.8	  0.0105	 92.42	       2102.5 
23.6	  0.0108	 90.34	       2134.2 
24.5	  0.0111	 88.20	       2161.0 
25.4	  0.0115	 86.01	       2182.6 
26.3	  0.0119	 83.78	       2199.1 
27.1	  0.0123	 81.50	       2210.7 
28.0	  0.0127	 79.19	       2217.4 
28.9	  0.0132	 76.86	       2219.4 
29.8	  0.0138	 74.52	       2217.0 
30.6	  0.0143	 72.18	       2210.4 
31.5	  0.0149	 69.84	       2200.1 
32.4	  0.0156	 67.53	       2186.3 
33.2	  0.0162	 65.25	       2169.5 
34.1	  0.0169	 63.01	       2150.2 
35.0	  0.0176	 60.82	       2128.7 
35.9	  0.0184	 58.69	       2105.5 
36.8	  0.0191	 56.63	       2081.0 
37.6	  0.0199	 54.64	       2055.7 
38.5	  0.0206	 52.72	       2029.8 
39.4	  0.0213	 50.89	       2003.7 
40.2	  0.0221	 49.13	       1977.5 
41.1	  0.0228	 47.46	       1951.7 
42.0	  0.0235	 45.86	       1926.3 
42.9	  0.0242	 44.35	       1901.5 
43.8	  0.0248	 42.91	       1877.3 
44.6	  0.0254	 41.54	       1853.9 
45.5	  0.0260	 40.25	       1831.2 
46.4	  0.0266	 39.02	       1809.4 
47.2	  0.0271	 37.85	       1788.3 
48.1	  0.0275	 36.74	       1768.0 
49.0	  0.0280	 35.68	       1748.4 
49.9	  0.0284	 34.68	       1729.5 
50.8	  0.0287	 33.72	       1711.2 
51.6	  0.0291	 32.80	       1693.5 
52.5	  0.0294	 31.93	       1676.3 
53.4	  0.0297	 31.09	       1659.6 
54.3	  0.0299	 30.29	       1643.3 
55.1	  0.0301	 29.52	       1627.4 
56.0	  0.0303	 28.78	       1611.7 
56.9	  0.0305	 28.07	       1596.3 
57.8	  0.0307	 27.38	       1581.2 
58.6	  0.0308	 26.72	       1566.2 
59.5	  0.0310	 26.07	       1551.4 
60.4	  0.0311	 25.45	       1536.7 
61.3	  0.0312	 24.85	       1522.1 
62.1	  0.0313	 24.27	       1507.6 
63.0	  0.0314	 23.70	       1493.1 
63.9	  0.0314	 23.15	       1478.6 
64.8	  0.0315	 22.61	       1464.1 
65.6	  0.0316	 22.09	       1449.7 
66.5	  0.0316	 21.58	       1435.2 
67.4	  0.0317	 21.09	       1420.6 
68.2	  0.0317	 20.60	       1406.0 
69.1	  0.0317	 20.13	       1391.4 
70.0	  0.0318	 19.67	       1376.7 
70.9	  0.0318	 19.22	       1362.0 
71.8	  0.0318	 18.78	       1347.2 
72.6	  0.0318	 18.34	       1332.3 
