# rho	    A	        veq	       Qeq	  
130.4	  0.0300	 0.05	       7.0 
131.3	  0.0300	 0.05	       6.3 
132.1	  0.0300	 0.04	       5.5 
133.0	  0.0300	 0.04	       4.8 
133.9	  0.0300	 0.03	       4.1 
134.8	  0.0300	 0.03	       3.5 
135.6	  0.0300	 0.02	       2.8 
136.5	  0.0300	 0.02	       2.2 
137.4	  0.0300	 0.01	       1.6 
138.2	  0.0300	 0.01	       1.1 
139.1	  0.0300	 0.00	       0.5 
140.0	  0.0300	 0.00	       0.0 
