# rho	    A	        veq	       Qeq	  
129.5	  0.0480	 0.12	       15.7 
130.4	  0.0480	 0.11	       14.1 
131.3	  0.0480	 0.10	       12.6 
132.1	  0.0480	 0.08	       11.1 
133.0	  0.0480	 0.07	       9.7 
133.9	  0.0480	 0.06	       8.3 
134.8	  0.0480	 0.05	       7.0 
135.6	  0.0480	 0.04	       5.7 
136.5	  0.0480	 0.03	       4.5 
137.4	  0.0480	 0.02	       3.3 
138.2	  0.0480	 0.02	       2.2 
139.1	  0.0480	 0.01	       1.1 
140.0	  0.0480	 0.00	       0.0 
