# rho	    A	        veq	       Qeq	  
128.6	  0.0380	 1.65	       211.9 
129.5	  0.0380	 1.52	       196.5 
130.4	  0.0380	 1.39	       180.9 
131.3	  0.0380	 1.26	       165.2 
132.1	  0.0380	 1.13	       149.4 
133.0	  0.0380	 1.00	       133.4 
133.9	  0.0380	 0.88	       117.3 
134.8	  0.0380	 0.75	       101.0 
135.6	  0.0380	 0.62	       84.5 
136.5	  0.0380	 0.50	       68.0 
137.4	  0.0380	 0.37	       51.2 
138.2	  0.0380	 0.25	       34.3 
139.1	  0.0380	 0.12	       17.2 
140.0	  0.0380	 0.00	       0.0 
