# rho	    A	        veq	       Qeq	  
128.6	  0.0380	 1.54	       197.6 
129.5	  0.0380	 1.41	       183.2 
130.4	  0.0380	 1.29	       168.6 
131.3	  0.0380	 1.17	       153.9 
132.1	  0.0380	 1.05	       139.1 
133.0	  0.0380	 0.93	       124.2 
133.9	  0.0380	 0.82	       109.1 
134.8	  0.0380	 0.70	       94.0 
135.6	  0.0380	 0.58	       78.6 
136.5	  0.0380	 0.46	       63.2 
137.4	  0.0380	 0.35	       47.6 
138.2	  0.0380	 0.23	       31.9 
139.1	  0.0380	 0.12	       16.0 
140.0	  0.0380	 0.00	       0.0 
